id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
12046,EXETIN-A 4000 UI SOLUCION INYECTABLE,A,2000-07-13,F059713072000,ERITROPOYETINA HUMANA RECOMBINANTE 4000 UI,ERITROPOYETINA HUMANA RECOMBINANTE,"LABORATORIOS PISA, S.A. DE C.V.  (CALLE 6, NO. 2750) ",SOLUCION INYECTABLE,4000 UI,17.86,$107.16 - $107.16,107.16,107.16,2019-12-17 17:48:21,2019-12-17 17:48:21,552b99493ce1488a409e00f1ccec64c9
12047,GLUCOSAMINA 750 mg MEMBER´S SELECTION CAPSULAS,A,2008-12-22,F059717122008,Quitosano 750 mg.,Quitosano,AVEMA PHARMA SOLUTIONS,CAPSULAS,750 mg.,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,17259041f50f3ed2473c3d6291deb14a
12048,IBUPROFENO 600 mg FARMANAT`S TABLETAS RECUBIERTAS,A,2002-08-21,F059721082002,Ibuprofeno 600 mg.,Ibuprofeno,LABORATORIOS LAMFER,TABLETA RECUBIERTA,600 mg.,0,$0.35 - $0.35,0.35,0.35,2019-12-17 17:48:21,2019-12-17 17:48:21,19efc0945fc98b035cb26094a2d4e0a9
12049,GEMFIBROZIL TM 600 mg TABLETAS,A,2004-09-22,F059722092004,GEMFIBROZILO  600 mg.,GEMFIBROZILO ,LABORATORIOS TERAMED,TABLETA,600 mg.,0.6,$60.00 - $60.00,60,60,2019-12-17 17:48:21,2019-12-17 17:48:21,5c2b063a25caaa5112fcc55b2fc47d82
12050,RINALER JARABE,A,2003-10-01,F059801102003,CETIRIZINA 5 mg.,CETIRIZINA,LABORATORIOS MARCELI,JARABE,5 mg.,0.13,$9.80 - $11.37,9.8,11.37,2019-12-17 17:48:21,2019-12-17 17:48:21,9d66ed717ca7ba1f7a0594120a1c4858
12051,ULTRADOCEPLEX B15 SOLUCION ORAL,A,2007-12-05,F059805122007,ACIDO PANGAMICO (VITAMINA B15) 100 mg.,ACIDO PANGAMICO (VITAMINA B15),LABORATORIOS VIJOSA,SOLUCION ORAL,100 mg.,0.1,$11.70 - $11.70,11.7,11.7,2019-12-17 17:48:21,2019-12-17 17:48:21,028d5490ff9a1877e9073ab570a56d8b
12052,METFORDEL + GLI TABLETA,A,2011-12-07,F059807122011,Glibenclamida 5 mg. + Metformina clorhidrato 500 mg.,Glibenclamida + Metformina clorhidrato,"WEXFORD LABORATORIES, PVT. LTD.",TABLETA,5 mg. + 500 mg.,0.2,$0.35 - $12.00,0.35,12,2019-12-17 17:48:21,2019-12-17 17:48:21,aa6a6d2ce8c8beae1e26091f37b70a38
12070,AMOXICILINA PARA SUSPENSION ORAL USP  250mg/5mL AUROBINDO POLVO PARA SUSPENSION ORAL,A,2013-07-11,F060011072013,Amoxicilina 250 mg/5ml,Amoxicilina,M/S AUROBINDO PHARMA LIMITED,POLVO PARA SUSPENSION ORAL,250 mg/5ml,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,3a6332715ee9f325be9f6130c866e502
12071,PRIDAM 4 mg/4 mL SOLUCION INYECTABLE,A,2000-07-13,F060013072000,NOREPINEFRINA 4 mg.,NOREPINEFRINA,"LABORATORIOS PISA, S.A. DE C.V. (CALLE 7, No. 1308)",SOLUCION INYECTABLE,4 mg.,0.49,$19.65 - $19.65,19.65,19.65,2019-12-17 17:48:21,2019-12-17 17:48:21,5cff77b291d2de8b7968050427b3a06f
12053,GERIATRIK BIOKEMICAL SOLUCION ORAL,A,2004-09-08,F059808092004,GLICEROFOSFATO DE CALCIO 7.14 mg. + GLICEROFOSFATO DE CALCIO 7.14 mg. + GLICEROFOSFATO DE CALCIO 7.14 mg. + Hierro amoniacal citrato 7.14 mg. + Hierro amoniacal citrato 7.14 mg. + Hierro amoniacal citrato 7.14 mg. + RIBOFLAVINA 3.57 mg. + RIBOFLAVINA 3.57 mg. + RIBOFLAVINA 3.57 mg. + CIANOCOBALAMINA 7.14 mg. + CIANOCOBALAMINA 7.14 mg. + CIANOCOBALAMINA 7.14 mg. + NICOTINAMIDA 7.14 mg. + NICOTINAMIDA 7.14 mg. + NICOTINAMIDA 7.14 mg. + Tiamina 7.14 mg. + Tiamina 7.14 mg. + Tiamina 7.14 mg. + L-LISINA 35.71 mg. + L-LISINA 35.71 mg. + L-LISINA 35.71 mg. + Sulfato de zinc 7.14 mg. + Sulfato de zinc 7.14 mg. + Sulfato de zinc 7.14 mg. + YODURO DE POTASIO 35.71 mcg. + YODURO DE POTASIO 35.71 mcg. + YODURO DE POTASIO 35.71 mcg. + PIRIDOXINA 7.14 mg. + PIRIDOXINA 7.14 mg. + PIRIDOXINA 7.14 mg. + D-PANTENOL 7.14 mg. + D-PANTENOL 7.14 mg. + D-PANTENOL 7.14 mg.,GLICEROFOSFATO DE CALCIO + GLICEROFOSFATO DE CALCIO + GLICEROFOSFATO DE CALCIO + Hierro amoniacal citrato + Hierro amoniacal citrato + Hierro amoniacal citrato + RIBOFLAVINA + RIBOFLAVINA + RIBOFLAVINA + CIANOCOBALAMINA + CIANOCOBALAMINA + CIANOCOBALAMINA + NICOTINAMIDA + NICOTINAMIDA + NICOTINAMIDA + Tiamina + Tiamina + Tiamina + L-LISINA + L-LISINA + L-LISINA + Sulfato de zinc + Sulfato de zinc + Sulfato de zinc + YODURO DE POTASIO + YODURO DE POTASIO + YODURO DE POTASIO + PIRIDOXINA + PIRIDOXINA + PIRIDOXINA + D-PANTENOL + D-PANTENOL + D-PANTENOL,LABORATORIOS LOPEZ,SOLUCION ORAL,7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 3.57 mg. + 3.57 mg. + 3.57 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 35.71 mg. + 35.71 mg. + 35.71 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 35.71 mcg. + 35.71 mcg. + 35.71 mcg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg. + 7.14 mg.,0.15,$22.26 - $22.26,22.26,22.26,2019-12-17 17:48:21,2019-12-17 17:48:21,3f5110f6011bb73f1fe0295f0cbcc03b
12054,AMVAL 10/160 mg TABLETAS RECUBIERTAS,A,2015-12-10,F059810122015,BESILATO DE AMLODIPINO 10 mg. + Valsartán 160 mg.,BESILATO DE AMLODIPINO + Valsartán,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,TABLETAS RECUBIERTAS,10 mg. + 160 mg.,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,2bf6b22d009487324745a01bd3ebd3e9
12055,DESCONGEL F GRIPA JARABE,A,2001-07-11,F059811072001,Clorhidrato de fenilefrina 0.1 g. + Loratadina 0.05 g. + Acetaminofén 6.5 g.,Clorhidrato de fenilefrina + Loratadina + Acetaminofén,LABORATORIOS CHALVER DE COLOMBIA S.A.,JARABE,0.1 g. + 0.05 g. + 6.5 g.,0.19,$11.50 - $11.50,11.5,11.5,2019-12-17 17:48:21,2019-12-17 17:48:21,74e06eb5f2c3d232ceb7475326147147
12056,MASFEROL TABLETA,A,2013-07-11,F059811072013,Paracetamol 500 mg. + Clorfeniramina Maleato 4 mg. + Cafeína 25 mg. + Clorhidrato de fenilefrina 5 mg.,Paracetamol + Clorfeniramina Maleato + Cafeína + Clorhidrato de fenilefrina,"QUIMICA Y FARMACIA, S.A. DE C.V.",TABLETA,500 mg. + 4 mg. + 25 mg. + 5 mg.,0.25,$25.00 - $25.00,25,25,2019-12-17 17:48:21,2019-12-17 17:48:21,87d46fa70397441da367fda67fee1b58
12057,SOLUCION DP PISA 2.5% MODIFICADA EN MAGNESIO Y LACTATO SOLUCION,A,2000-07-13,F059813072000,LACTATO DE SODIO 448 mg. + LACTATO DE SODIO 448 mg. + Cloruro de calcio dihidratado 25.7 mg. + Cloruro de calcio dihidratado 25.7 mg. + Cloruro de sodio 538 mg. + Cloruro de sodio 538 mg. + GLUCOSA MONOHIDRATO 2.5 g. + GLUCOSA MONOHIDRATO 2.5 g. + CLORURO DE MAGNESIO HEXAHIDRATADO 5.08 mg. + CLORURO DE MAGNESIO HEXAHIDRATADO 5.08 mg.,LACTATO DE SODIO + LACTATO DE SODIO + Cloruro de calcio dihidratado + Cloruro de calcio dihidratado + Cloruro de sodio + Cloruro de sodio + GLUCOSA MONOHIDRATO + GLUCOSA MONOHIDRATO + CLORURO DE MAGNESIO HEXAHIDRATADO + CLORURO DE MAGNESIO HEXAHIDRATADO,"LABORATORIOS PISA, S.A. DE C.V. (CALLE 7, No. 1308)",SOLUCION,448 mg. + 448 mg. + 25.7 mg. + 25.7 mg. + 538 mg. + 538 mg. + 2.5 g. + 2.5 g. + 5.08 mg. + 5.08 mg.,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,949fa1bb0d9b621aaa266a9d8f0988c6
12058,COLD CREAM MEDITECH CREMA,A,1999-07-14,F059814071999,ACEITE MINERAL 50 g. + CERA DE ABEJA 16.67 g.,ACEITE MINERAL + CERA DE ABEJA,LABORATORIO QUIMICO FARMACEUTICO MEDITECH LABORATORIES DE CENTRO AMERICA,CREMA,50 g. + 16.67 g.,0.02,$5.36 - $9.23,5.36,9.23,2019-12-17 17:48:21,2019-12-17 17:48:21,3ff2c9175a3f91cc8c047f8291475eeb
12059,VITAMINA C MEMBERS SELECTION 500mg TABLETAS MASTICABLES,A,2008-12-22,F059817122008,ACIDO ASCORBICO (97% VITAMINA C) 515 mg.,ACIDO ASCORBICO (97% VITAMINA C),AVEMA PHARMA SOLUTIONS/PLD ACQUISITION LLC,TABLETAS,515 mg.,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,98607587c6883a6e899e92b74ff46af3
12060,NOR-VENTO 5 mg TABLETAS MASTICABLES,A,2005-10-19,F059819102005,MONTELUKAST 5 mg.,MONTELUKAST,LABORATORIOS TERAMED,TABLETA MASTICABLE,5 mg.,0.61,$18.36 - $18.36,18.36,18.36,2019-12-17 17:48:21,2019-12-17 17:48:21,df4922f04965e1b61007e05759210a02
12061,DIMENHIDRINATO FUNIVER 50 mg TABLETAS,A,2002-08-21,F059821082002,Dimenhidrinato 50 mg. + Dimenhidrinato 50 mg.,Dimenhidrinato + Dimenhidrinato,CIRON DRUGS AND PHARMACEUTICALS PVT. LTD.,TABLETA,50 mg. + 50 mg.,0.06,$5.66 - $5.66,5.66,5.66,2019-12-17 17:48:21,2019-12-17 17:48:21,f73bdc285f647bcca2f664a40df5fb1f
12062,GLIMEPIRIDA PHARM INTER 4 mg TABLETAS,A,2015-12-03,F059903122015,Glimepirida 4 mg.,Glimepirida,SANJIVANI PARENTERAL LTD,TABLETA,4 mg.,0.21,$21.00 - $21.00,21,21,2019-12-17 17:48:21,2019-12-17 17:48:21,6db49a6dbfd157c90db8275817f20ed9
12063,DICLOFENACO POTASICO CALOX 50 mg TABLETAS RECUBIERTAS,A,2009-11-04,F059904112009,Diclofenaco potásico 50 mg.,Diclofenaco potásico,"CALOX DE COSTA RICA, S.A",TABLETA RECUBIERTA,50 mg.,0.52,$25.75 - $25.75,25.75,25.75,2019-12-17 17:48:21,2019-12-17 17:48:21,481e3ca9e5c30f770d5b0ceb05b85833
12064,AMPICILINA Y SULBACTAM PARA INYECCION 1.5g AUROBINDO POLVO PARA SOLUCION INYECTABLE,A,2013-07-11,F059911072013,SULBACTAM 0.5 g. + AMPICILINA BASE  1 g.,SULBACTAM + AMPICILINA BASE ,M/S AUROBINDO PHARMA LIMITED,POLVO PARA SOLUCION INYECTABLE,0.5 g. + 1 g.,,,,,2019-12-17 17:48:21,2019-12-17 17:48:21,6449b6ee725e4ab87ac475d414e910ca
12065,MUVETT 300mg TABLETA DE LIBERACION PROLONGADA,A,2009-01-07,F059917122008,Trimebutina maleato 300 mg.,Trimebutina maleato,"PROCAPS, S.A.",TABLETAS,300 mg.,0.99,$14.24 - $17.59,14.24,17.59,2019-12-17 17:48:21,2019-12-17 17:48:21,0bf7b38b3b185e75cfccd26ddcd59bb5
12066,MUCOVIBROL 0.3g/100mL SOLUCION,A,1999-07-21,F059921071999,CLORHIDRATO DE AMBROXOL  0.3 g.,CLORHIDRATO DE AMBROXOL ,LABORATORIOS LIOMONT S.A. DE C.V.,SOLUCION,0.3 g.,0.06,$7.21 - $7.21,7.21,7.21,2019-12-17 17:48:21,2019-12-17 17:48:21,c772abef68f1e76c7ea0d47efa2d4ddf
12067,ACICLOVIR 200 mg/ 5 mL FARMANAT`S GRANULOS PARA SUSPENSION,A,2002-08-21,F059921082002,Aciclovir 200 mg.,Aciclovir,LABORATORIOS LAMFER,GRANULADO PARA SUSPENSION,200 mg.,0.18,$18.00 - $18.00,18,18,2019-12-17 17:48:21,2019-12-17 17:48:21,e1f2103ec35c489f1f290a5e4e619537
12068,BELARINA 2mg/0.02mg TABLETAS RECUBIERTAS,A,2015-12-03,F060003122015,ACETATO DE CLORMADINONA 2 mg. + Etinilestradiol 0.02 mg.,ACETATO DE CLORMADINONA + Etinilestradiol,GEDEON RICHTER PLC.,TABLETAS RECUBIERTAS,2 mg. + 0.02 mg.,0.69,$19.42 - $19.42,19.42,19.42,2019-12-17 17:48:21,2019-12-17 17:48:21,4cb93db5aa377a9e750cd97b21d1c42c
12069,"ERITROPOYETINA BIO SIDUS 40,000 UI ALFA HUMANA RECOMBINANTE POLVO LIOFILIZADO Y DISOLVENTE PARA SOLUCION INYECTABLE",A,2011-12-07,F060007122011,ERITROPOYETINA HUMANA RECOMBINANTE 40000 UI,ERITROPOYETINA HUMANA RECOMBINANTE,BIO SIDUS S.A.,POLVO LIOFILIZADO Y DISOLVENTE PARA SOLUCION INYECTABLE,40000 UI,33.85,$33.85 - $33.85,33.85,33.85,2019-12-17 17:48:21,2019-12-17 17:48:21,8f3ea8fee722cb266dc4fe4629fd4dda
12072,PARAMIX 500 MG GRAGEAS,A,2009-01-07,F060017122008,NITAZOXANIDA 500 mg.,NITAZOXANIDA,LABORATORIOS LIOMONT S.A. DE C.V.,GRAGEAS,500 mg.,1.94,$11.66 - $11.66,11.66,11.66,2019-12-17 17:48:21,2019-12-17 17:48:21,ea581ffa62d246bedf0a2f9ee0164595
12073,ADVIL 200mg TABLETAS RECUBIERTAS,A,1999-08-18,F060018081999,Ibuprofeno 200 mg.,Ibuprofeno,WYETH PHARMACEUTICALS COMPANY,TABLETAS RECUBIERTAS,200 mg.,0.22,$2.64 - $2.64,2.64,2.64,2019-12-17 17:48:21,2019-12-17 17:48:21,f1a6c856edc0b27872e8f1f21c7fe07e
12074,PEDIACEF 100 mg/mL POLVO PARA SUSPENSION ORAL,A,2006-09-27,F060027092006,Cefixima 100 mg.,Cefixima,LABORATORIOS LOPEZ,POLVO PARA SUSPENSION ORAL,100 mg.,0.41,$6.22 - $6.22,6.22,6.22,2019-12-17 17:48:21,2019-12-17 17:48:21,bca793e39a8515d59480c6047ca7d934
12075,CARBOTUSSIN JARABE,A,2003-10-29,F060029102003,DEXTROMETORFANO BROMHIDRATO 5 mg. + Carboximetilcisteina 150 mg. + CLORFENIRAMINA MALEATO 2.5 mg.,DEXTROMETORFANO BROMHIDRATO + Carboximetilcisteina + CLORFENIRAMINA MALEATO,LABORATORIO FARMACEUTICO PAILL,JARABE,5 mg. + 150 mg. + 2.5 mg.,0.03,$7.08 - $7.12,7.08,7.12,2019-12-17 17:48:22,2019-12-17 17:48:22,0e0e532ef57f1a098fd8ff4dff0a200f
12076,ESTACOL 20 TABLETAS,A,2015-12-03,F060103122015,Simvastatina 20 mg.,Simvastatina,LABORATORIOS MEDIKEM,TABLETAS,20 mg.,0.87,$12.00 - $16.26,12,16.26,2019-12-17 17:48:22,2019-12-17 17:48:22,32ca005f472f62537fd0180302ae6096
12077,BALSAMITO F.Q. SOLUCION,A,2003-11-05,F060105112003,SEMILLA DE BALSAMO 1 g.,SEMILLA DE BALSAMO,LABORATORIO FARMACEUTICO ENMILEN,SOLUCION,1 g.,0,$1.00 - $1.00,1,1,2019-12-17 17:48:22,2019-12-17 17:48:22,2acd63ad96a58c557eef23c567d4c657
12078,XARTAN 50 mg COMPRIMIDOS RECUBIERTOS,A,2011-12-07,F060107122011,Losartán potásico 51 mg.,Losartán potásico,MEDIPAN S.A.,COMPRIMIDOS RECUBIERTOS,51 mg.,0.43,$8.58 - $8.58,8.58,8.58,2019-12-17 17:48:22,2019-12-17 17:48:22,815949c9a6f04b155076f3c6e5c8ec28
12079,LOSARTEG HCT 50mg/12.5mg TG TABLETAS RECUBIERTAS,A,2013-07-11,F060111072013,LOSARTAN   50 mg. + Hidroclorotiazida 12.5 mg.,LOSARTAN   + Hidroclorotiazida,TECNOQUIMICAS S.A.,TABLETA RECUBIERTA,50 mg. + 12.5 mg.,1.69,$13.46 - $16.71,13.46,16.71,2019-12-17 17:48:22,2019-12-17 17:48:22,3ee55e948e49dbdbebaa52d42fefcd90
12080,BROMUREX 4 mg/2 mL SOLUCION INYECTABLE,A,2000-07-13,F060113072000,BROMURO DE PANCURONIO 4 mg.,BROMURO DE PANCURONIO,"LABORATORIOS PISA, S.A. DE C.V. (CALLE 7, No. 1308)",SOLUCION INYECTABLE,4 mg.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,c0d753ca830e7997d2bff19b6f7e9d4f
12081,COMPLEJO B FG SOLUCION INYECTABLE,A,2005-09-13,F060113092005,TIAMINA HCL 200 mg. + CIANOCOBALAMINA 200 mcg. + NICOTINAMIDA 1000 mg. + PANTOTENATO DE CALCIO 20 mg. + PIRIDOXINA HCL 20 mg. + RIBOFLAVINA FOSFATO 20 mg.,TIAMINA HCL + CIANOCOBALAMINA + NICOTINAMIDA + PANTOTENATO DE CALCIO + PIRIDOXINA HCL + RIBOFLAVINA FOSFATO,LABORATORIO FARMACEUTICO PAILL,SOLUCION INYECTABLE,200 mg. + 200 mcg. + 1000 mg. + 20 mg. + 20 mg. + 20 mg.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,3c05c8b4510dd1327e7aca93ef964e20
12082,ACIFOLINAT´S 5.00 mg CAPSULA BLANDA,A,2004-09-22,F060122092004,Ácido fólico 5 mg.,Ácido fólico,"FARMACAPS, S.A.",CAPSULA DE GELATINA BLANDA,5 mg.,0.15,$1.60 - $11.10,1.6,11.1,2019-12-17 17:48:22,2019-12-17 17:48:22,13f612e4d9bb9e638e8a029e7e75c861
12083,ESTACOL 40 TABLETAS,A,2015-12-03,F060203122015,Simvastatina 40 mg.,Simvastatina,LABORATORIOS MEDIKEM,TABLETAS,40 mg.,0.7,$20.98 - $20.98,20.98,20.98,2019-12-17 17:48:22,2019-12-17 17:48:22,809fd8f7d4fe895e542183095dc7be3f
12084,GEMCITABINA 1g PISA POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,A,2013-07-11,F060211072013,Gemcitabina 1 g.,Gemcitabina,"LABORATORIOS PISA, S.A. DE C.V.  (MAQ)",POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,1 g.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,9abb499047d71338902245518daa9f0a
12085,COMELONES JARABE,A,2006-10-11,F060211102006,CIPROHEPTADINA 2 mg. + Pantotenato de calcio 3 mg. + Piridoxina clorhidrato 2.5 mg. + Niacina 15 mg. + Tiamina clorhidrato 5 mg. + Cianocobalamina 5 mcg. + Sulfato de zinc 4 mg. + Riboflavina 2.5 mg.,CIPROHEPTADINA + Pantotenato de calcio + Piridoxina clorhidrato + Niacina + Tiamina clorhidrato + Cianocobalamina + Sulfato de zinc + Riboflavina,LABORATORIOS FARMACEUTICOS RAZEL,JARABE,2 mg. + 3 mg. + 2.5 mg. + 15 mg. + 5 mg. + 5 mcg. + 4 mg. + 2.5 mg.,0.05,$9.44 - $9.44,9.44,9.44,2019-12-17 17:48:22,2019-12-17 17:48:22,94de57f8531c9388491918eeba778327
12086,NEURO FERRICAL B12 JARABE,A,1999-07-14,F060214071999,RIBOFLAVINA 5 FOSFATO 1 mg. + RIBOFLAVINA 5 FOSFATO 1 mg. + RIBOFLAVINA 5 FOSFATO 1 mg. + TIAMINA HCL 2.5 mg. + TIAMINA HCL 2.5 mg. + TIAMINA HCL 2.5 mg. + GLICEROFOSFATO DE CALCIO 5 mg. + GLICEROFOSFATO DE CALCIO 5 mg. + GLICEROFOSFATO DE CALCIO 5 mg. + CIANOCOBALAMINA 2.5 mcg. + CIANOCOBALAMINA 2.5 mcg. + CIANOCOBALAMINA 2.5 mcg. + NICOTINAMIDA 2.5 mg. + NICOTINAMIDA 2.5 mg. + NICOTINAMIDA 2.5 mg. + Ácido glutámico 12.5 mg. + Ácido glutámico 12.5 mg. + Ácido glutámico 12.5 mg. + PIRIDOXINA 1.25 mg. + PIRIDOXINA 1.25 mg. + PIRIDOXINA 1.25 mg.,RIBOFLAVINA 5 FOSFATO + RIBOFLAVINA 5 FOSFATO + RIBOFLAVINA 5 FOSFATO + TIAMINA HCL + TIAMINA HCL + TIAMINA HCL + GLICEROFOSFATO DE CALCIO + GLICEROFOSFATO DE CALCIO + GLICEROFOSFATO DE CALCIO + CIANOCOBALAMINA + CIANOCOBALAMINA + CIANOCOBALAMINA + NICOTINAMIDA + NICOTINAMIDA + NICOTINAMIDA + Ácido glutámico + Ácido glutámico + Ácido glutámico + PIRIDOXINA + PIRIDOXINA + PIRIDOXINA,LABORATORIO FARMACEUTICO ENMILEN,JARABE,1 mg. + 1 mg. + 1 mg. + 2.5 mg. + 2.5 mg. + 2.5 mg. + 5 mg. + 5 mg. + 5 mg. + 2.5 mcg. + 2.5 mcg. + 2.5 mcg. + 2.5 mg. + 2.5 mg. + 2.5 mg. + 12.5 mg. + 12.5 mg. + 12.5 mg. + 1.25 mg. + 1.25 mg. + 1.25 mg.,0.04,$5.75 - $12.82,5.75,12.82,2019-12-17 17:48:22,2019-12-17 17:48:22,5bdd83bee1db536e57f5d24f24a60d35
12087,CLARITROMICINA 500 mg MEPRO TABLETAS RECUBIERTAS,A,2015-12-03,F060303122015,Claritromicina 500 mg.,Claritromicina,MEPRO PHARMACEUTICALS PVT. LTD,TABLETAS RECUBIERTAS,500 mg.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,e4d4cbc3432a39fe9981f0398632b962
12088,ZINFORO 600mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,A,2013-07-11,F060311072013,Ceftarolina fosfamilo 600 mg.,Ceftarolina fosfamilo,FACTA FARMACEUTICI S.P.A.,POLVO PARA CONCENTRADO PARA SOLUCION DE PERFUSION,600 mg.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,f1c20a03301638158afa0724b6de33ae
12089,SOLUCION DX-50 PISA 50% SOLUCION INYECTABLE,A,2000-07-13,F060313072000,GLUCOSA ANHIDRA 50 g.,GLUCOSA ANHIDRA,"LABORATORIOS PISA, S.A. DE C.V. (CALLE 7, No. 1308)",SOLUCION INYECTABLE,50 g.,0.16,$7.75 - $7.75,7.75,7.75,2019-12-17 17:48:22,2019-12-17 17:48:22,916ad6b3ddb68a37a48a4754784c699e
12090,LOSARTAN POTASICO FG 50 mg TABLETA RECUBIERTA.,A,2005-07-20,F060320072005,LOSARTAN   50 mg.,LOSARTAN  ,"WEXFORD LABORATORIES, PVT. LTD.",TABLETA RECUBIERTA,50 mg.,,,,,2019-12-17 17:48:22,2019-12-17 17:48:22,a1a7f91df54cd1f3a2f4ecf94ad1a9e2
12091,BETASERC 16 mg TABLETAS,A,2006-09-27,F060327092006,BETAHISTINA CLORHIDRATO 16 mg.,BETAHISTINA CLORHIDRATO,MYLAN LABORATORIES SAS,TABLETAS,16 mg.,0.78,$15.65 - $15.65,15.65,15.65,2019-12-17 17:48:23,2019-12-17 17:48:23,0b94d6a029373169a3736556b943b849
12092,ACIDO FOLICO 1 mg TABLETAS ECOMED,A,2003-10-29,F060329102003,Ácido fólico 1 mg.,Ácido fólico,LABORATORIOS PHARMEDIC,TABLETA,1 mg.,0.11,$10.51 - $10.51,10.51,10.51,2019-12-17 17:48:23,2019-12-17 17:48:23,f3129dae01dd86e694e0f4732778478c
12093,ESPIRONOLACTONA 100 mg MEPRO TABLETAS RECUBIERTAS,A,2015-12-03,F060403122015,ESPIRONOLACTONA 100 mg.,ESPIRONOLACTONA,MEPRO PHARMACEUTICALS PVT. LTD,TABLETAS RECUBIERTAS,100 mg.,,,,,2019-12-17 17:48:23,2019-12-17 17:48:23,4e21aa5ec988119dffedd2ffd0ba43c5
12094,ISOTRETINOTEG 10 mg TG CAPSULAS BLANDAS,A,2011-12-14,F060414122011,ISOTRETINOINA 10 mg.,ISOTRETINOINA,TECNOQUIMICAS S.A.,CAPSULAS BLANDAS,10 mg.,,,,,2019-12-17 17:48:23,2019-12-17 17:48:23,a23077024f3dfd39bc775f4271f08975
12095,PEPSADEL SUSPENSION ORAL 87.33 mg/5 mL,A,2013-07-25,F060425072013,SUBSALICILATO  DE  BISMUTO 87.33 mg.,SUBSALICILATO  DE  BISMUTO,LABORATORIO FARMACEUTICO FARDEL,SUSPENSION ORAL,87.33 mg.,0.05,$4.85 - $8.04,4.85,8.04,2019-12-17 17:48:23,2019-12-17 17:48:23,d3d49c762c11ee7f3e694717925b945c
12096,METRONIDAZOL RODIM 500 mg COMPRIMIDOS,A,1999-07-28,F060428071999,Metronidazol 500 mg.,Metronidazol,"FARMACEUTICA RODIM, S.A. DE C.V.",COMPRIMIDO,500 mg.,,,,,2019-12-17 17:48:23,2019-12-17 17:48:23,749a6f8d4345307c7d7c36dcfb032aaa
12097,ATORVASTATINA PHARM INTER 10 mg TABLETAS RECUBIERTAS,A,2015-12-03,F060503122015,ATORVASTATINA CALCICA 10.4 mg.,ATORVASTATINA CALCICA,SANJIVANI PARENTERAL LTD,TABLETAS RECUBIERTAS,10.4 mg.,0.5,$50.00 - $50.00,50,50,2019-12-17 17:48:23,2019-12-17 17:48:23,027c3085ed3cb73741750d77abde9c6b
12098,ESKAPAR 200mg CAPSULAS,A,2008-11-13,F060508102008,NIFUROXAZIDA 200 mg.,NIFUROXAZIDA,"ARMSTRONG LABORATORIOS DE MEXICO, S.A. DE C.V.",CAPSULA,200 mg.,2.91,$6.03 - $10.87,6.03,10.87,2019-12-17 17:48:23,2019-12-17 17:48:23,7df996b291c364e2f06054396aa6bcca
12099,BETAMETASONA SODIO FOSFATO BIOSANO 4 mg/1 mL SOLUCION INYECTABLE,A,2004-08-18,F060517032004,Betametasona 5 fosfato de sodio 4 mg.,Betametasona 5 fosfato de sodio,LABORATORIO BIOSANO S.A.,SOLUCION INYECTABLE,4 mg.,0.88,$4.41 - $4.41,4.41,4.41,2019-12-17 17:48:23,2019-12-17 17:48:23,17e5004e934383b9542df5eb0739241d
12100,IBUNODOL 400mg TABLETA,A,2005-07-20,F060520072005,Ibuprofeno 400 mg.,Ibuprofeno,"WEXFORD LABORATORIES, PVT. LTD.",TABLETAS RECUBIERTAS,400 mg.,0.02,$1.80 - $1.80,1.8,1.8,2019-12-17 17:48:23,2019-12-17 17:48:23,0226fd09ad35964f624f954b8e83f53f
12101,IBUPROFENO 400 mg TABLETAS RECUBIERTAS STANTECH,A,2013-07-25,F060525072013,Ibuprofeno 400 mg.,Ibuprofeno,STANTECH PHARMACEUTICALS PVT. LTD.,TABLETA RECUBIERTA,400 mg.,,,,,2019-12-17 17:48:23,2019-12-17 17:48:23,ed42ab5541319059a361c22b784dcb28
